"","Team","FBS"
"326","Clark Atlanta",NA
"327","College of Faith",NA
"328","College of Faith - Charlotte",NA
"329","College of Idaho",NA
"330","College of New Jersey",NA
"331","Colorado Mesa",NA
"332","Colorado School of Mines",NA
"333","Colorado State-Pueblo",NA
"334","Concord",NA
"335","Concordia-St. Paul",NA
"336","Concordia (AL)",NA
"337","Concordia (WI)",NA
"338","Concordia College (MI)",NA
"339","Culver-Stockton",NA
"340","Cumberland",NA
"341","Cumberland College",NA
"342","Delaware Valley",NA
"343","Delta State",NA
"344","Dixie State",NA
"345","East Central",NA
"346","East Stroudsburg",NA
"347","Eastern New Mexico",NA
"348","Eastern Oregon",NA
"349","Edinboro",NA
"350","Edward Waters",NA
"351","Elizabeth City State",NA
"352","Emory & Henry",NA
"353","Emporia State",NA
"354","Evangel",NA
"355","Fairmont State",NA
"356","Faulkner",NA
"357","Fayetteville State",NA
"358","Ferris State",NA
"359","Fort Lewis",NA
"360","Fort Valley State",NA
"361","Franklin",NA
"362","Franklin Pierce",NA
"363","Frostburg State",NA
"364","Gannon",NA
"365","Geneva College",NA
"366","Glenville State",NA
"367","Grand Valley State",NA
"368","Grand View",NA
"369","Greensboro College",NA
"370","Guilford",NA
"371","Hampden-Sydney",NA
"372","Hanover",NA
"373","Harding",NA
"374","Hartwick",NA
"375","Henderson State",NA
"376","Hillsdale",NA
"377","Hope",NA
"378","Humboldt State",NA
"379","Huntingdon",NA
"380","Husson",NA
"381","Indiana Wesleyan",NA
"382","Indianapolis",NA
"383","Iowa Wesleyan",NA
"384","Johnson C Smith",NA
"385","Johnson Smith",NA
"386","Kalamazoo",NA
"387","Kean University",NA
"388","Kentucky Christian",NA
"389","Kentucky State",NA
"390","Kentucky Wesleyan",NA
"391","La Verne",NA
"392","Lambuth",NA
"393","Lane",NA
"394","Lane College",NA
"395","Langston",NA
"396","Lenoir-Rhyne",NA
"397","Limestone",NA
"398","Lincoln (MO)",NA
"399","Lincoln (PA)",NA
"400","Lindenwood",NA
"401","Lindsey Wilson",NA
"402","Linfield",NA
"403","LIU Post",NA
"404","Livingstone",NA
"405","Lock Haven",NA
"406","Louisiana College",NA
"407","Lynchburg",NA
"408","Malone",NA
"409","Mansfield",NA
"410","Marian",NA
"411","Mars Hill",NA
"412","Maryville TN",NA
"413","Mayville State",NA
"414","McDaniel College",NA
"415","McKendree",NA
"416","McMurry",NA
"417","Menlo",NA
"418","Menlo College",NA
"419","Mercyhurst",NA
"420","Methodist",NA
"421","Mid-America Nazarene",NA
"422","Midwestern State",NA
"423","Miles",NA
"424","Miles College",NA
"425","Millersville",NA
"426","Millersville University",NA
"427","Minnesota-Crookston",NA
"428","Minnesota-Duluth",NA
"429","Minnesota St-Moorhead",NA
"430","Minnesota State",NA
"431","Minot State",NA
"432","Mississippi College",NA
"433","Missouri Baptist",NA
"434","Missouri S&T",NA
"435","Missouri Western",NA
"436","Montana Tech",NA
"437","Montclair State",NA
"438","Monterrey Tech",NA
"439","Morehouse",NA
"440","Morehouse College",NA
"441","Morris Brown",NA
"442","Mount St. Joseph",NA
"443","NC Wesleyan",NA
"444","Nebraska-Kearney",NA
"445","Nebraska-Omaha",NA
"446","New Haven",NA
"447","New Mexico Highlands",NA
"448","Newberry",NA
"449","North Greenville",NA
"450","Northeastern State",NA
"451","Northern Michigan",NA
"452","Northern State",NA
"453","Northwest Missouri State",NA
"454","Northwestern Oklahoma State",NA
"455","Notre Dame College",NA
"456","Ohio Dominican",NA
"457","Ohio Northern",NA
"458","OK Panhandle St",NA
"459","Oklahoma Baptist",NA
"460","Oklahoma Panhandle State",NA
"461","Ouachita Baptist",NA
"462","Pace",NA
"463","Paul Quinn",NA
"464","Pikeville",NA
"465","Pittsburg State",NA
"466","Point University",NA
"467","Quincy",NA
"468","Randolph-Macon",NA
"469","Redlands",NA
"470","Reinhardt",NA
"471","Rhodes",NA
"472","Rhodes College",NA
"473","Rocky Mountain",NA
"474","Rowan",NA
"475","Salve Regina",NA
"476","Savannah State",NA
"477","Shaw",NA
"478","Shepherd",NA
"479","Shippensburg",NA
"480","Shorter",NA
"481","Simon Fraser",NA
"482","Sioux Falls",NA
"483","Slippery Rock",NA
"484","South Dakota Mines",NA
"485","Southeastern Oklahoma",NA
"486","Southern Arkansas",NA
"487","Southern Connecticut State",NA
"488","Southern Oregon",NA
"489","Southern Virginia",NA
"490","Southwest Baptist",NA
"491","Southwest Minnesota State",NA
"492","Southwestern Assemblies of God",NA
"493","Southwestern College",NA
"494","Southwestern Oklahoma",NA
"495","St. Ambrose",NA
"496","St. Andrews",NA
"497","St. Anselm",NA
"498","St. Augustine's",NA
"499","St. Francis (IL)",NA
"500","St. Francis (IN)",NA
"501","St. Joseph's (IN)",NA
"502","St. Paul's College",NA
"503","St. Peter's",NA
"504","St. Xavier (IL)",NA
"505","Stillman",NA
"506","Stonehill",NA
"507","Stonehill College",NA
"508","SUNY Maritime",NA
"509","Tarleton State",NA
"510","Taylor",NA
"511","Texas A&M-Commerce",NA
"512","Texas A&M-Kingsville",NA
"513","Texas College",NA
"514","Texas Lutheran",NA
"515","Texas Wesleyan",NA
"516","Tiffin",NA
"517","Tiffin University",NA
"518","Trinity International (IL)",NA
"519","Truman State",NA
"520","Tusculum",NA
"521","Tuskegee",NA
"522","UNC Pembroke",NA
"523","Union College",NA
"524","University of Faith",NA
"525","University of Mary",NA
"526","University of Texas of the Permian Basin",NA
"527","Upper Iowa",NA
"528","Urbana",NA
"529","Ursinus",NA
"530","Ursinus College",NA
"531","UVA-Wise",NA
"532","UVA Wise",NA
"533","UW-Oshkosh",NA
"534","UW-Whitewater",NA
"535","Valdosta State",NA
"536","Virginia-Wise",NA
"537","Virginia Lynchburg",NA
"538","Virginia State",NA
"539","Virginia Union",NA
"540","Waldorf",NA
"541","Walsh",NA
"542","Warner",NA
"543","Washburn",NA
"544","Wayland Baptist",NA
"545","Wayne State (MI)",NA
"546","Wayne State (NE)",NA
"547","Webber International",NA
"548","Wesley College",NA
"549","West Alabama",NA
"550","West Chester",NA
"551","West Florida",NA
"552","West Georgia",NA
"553","West Liberty",NA
"554","West Texas A&M",NA
"555","West Virginia State",NA
"556","West Virginia Tech",NA
"557","West Virginia Wesleyan",NA
"558","Western Colorado",NA
"559","Western Connecticut State",NA
"560","Western New England",NA
"561","Western New Mexico",NA
"562","Western Oregon",NA
"563","Western State",NA
"564","Western State Colorado",NA
"565","Western Washington",NA
"566","Willamette",NA
"567","William Jewell College",NA
"568","William Penn",NA
"569","Wingate",NA
"570","Winona State",NA
"571","Winston-Salem",NA
"572","Wisconsin-Eau Claire",NA
"573","Wisconsin-La Crosse",NA
"574","Wisconsin-Platteville",NA
"575","Wisconsin-Stevens Point",NA
"576","Wisconsin Lutheran",NA
"577","Wittenberg",NA
"578","Wittenberg University",NA
"579","Worcester Polytechnic",NA
"580","WV State",NA
"581","WV Wesleyan",NA
